id,gender,bg_type,nationality,gpa,gpa_scale,gre,toefl,major,intern_desc,has_paper,has_research,courses_note,program,result,season,source
1,M,两财一贸(211),中国大陆,91.8,100,331,110+,金工,3段量化私募QR(含top百亿)+三中一华金工组,不明,不明,,baruch-mfe,accepted,26Fall,小红书
1,M,两财一贸(211),中国大陆,91.8,100,331,110+,金工,3段量化私募QR(含top百亿)+三中一华金工组,不明,不明,,princeton-mfin,rejected,26Fall,小红书
1,M,两财一贸(211),中国大陆,91.8,100,331,110+,金工,3段量化私募QR(含top百亿)+三中一华金工组,不明,不明,,cmu-mscf,accepted,26Fall,小红书
1,M,两财一贸(211),中国大陆,91.8,100,331,110+,金工,3段量化私募QR(含top百亿)+三中一华金工组,不明,不明,,mit-mfin,rejected,26Fall,小红书
1,M,两财一贸(211),中国大陆,91.8,100,331,110+,金工,3段量化私募QR(含top百亿)+三中一华金工组,不明,不明,,uchicago-msfm,accepted,26Fall,小红书
1,M,两财一贸(211),中国大陆,91.8,100,331,110+,金工,3段量化私募QR(含top百亿)+三中一华金工组,不明,不明,,gatech-qcf,accepted,26Fall,小红书
1,M,两财一贸(211),中国大陆,91.8,100,331,110+,金工,3段量化私募QR(含top百亿)+三中一华金工组,不明,不明,,nus-qf,accepted,26Fall,小红书
2,M,985,中国大陆,3.8,4,332,112,数学,2段量化实习+1段券商研究,是,是,实分析+随机过程+C++,baruch-mfe,accepted,26Fall,chasedream
2,M,985,中国大陆,3.8,4,332,112,数学,2段量化实习+1段券商研究,是,是,实分析+随机过程+C++,princeton-mfin,rejected,26Fall,chasedream
2,M,985,中国大陆,3.8,4,332,112,数学,2段量化实习+1段券商研究,是,是,实分析+随机过程+C++,cmu-mscf,accepted,26Fall,chasedream
3,F,海本(Top30),美籍,3.92,4,335,,,2段顶级量化+1段投行,是,否,数学+CS双专业,baruch-mfe,accepted,26Fall,linkedin
3,F,海本(Top30),美籍,3.92,4,335,,,2段顶级量化+1段投行,是,否,数学+CS双专业,princeton-mfin,accepted,26Fall,linkedin
3,F,海本(Top30),美籍,3.92,4,335,,,2段顶级量化+1段投行,是,否,数学+CS双专业,cmu-mscf,accepted,26Fall,linkedin
4,M,985,中国大陆,3.5,4,325,105,金融,1段银行实习,否,否,,columbia-mafn,rejected,26Fall,chasedream
4,M,985,中国大陆,3.5,4,325,105,金融,1段银行实习,否,否,,gatech-qcf,accepted,26Fall,chasedream
5,F,211,中国大陆,3.6,4,328,108,统计,2段数据分析实习,否,是,时间序列+回归分析,nyu-mfe,rejected,26Fall,quantnet
5,F,211,中国大陆,3.6,4,328,108,统计,2段数据分析实习,否,是,时间序列+回归分析,rutgers-msmf,accepted,26Fall,quantnet
5,F,211,中国大陆,3.6,4,328,108,统计,2段数据分析实习,否,是,时间序列+回归分析,fordham-msqf,accepted,26Fall,quantnet
6,M,985,中国大陆,87,100,330,115,金工,3段量化+1段投行,是,是,随机微积分+实分析+ML,baruch-mfe,accepted,26Fall,offershow
6,M,985,中国大陆,87,100,330,115,金工,3段量化+1段投行,是,是,随机微积分+实分析+ML,nyu-mfe,accepted,26Fall,offershow
7,M,海本(Top50),港澳台,3.7,4,329,,,1段量化实习+1段fintech,否,否,CS+数学辅修,columbia-mafn,accepted,26Fall,offershow
7,M,海本(Top50),港澳台,3.7,4,329,,,1段量化实习+1段fintech,否,否,CS+数学辅修,mit-mfin,rejected,26Fall,offershow
8,M,双非一本,中国大陆,3.8,4,326,102,应用数学,1段量化实习,否,否,概率论+线代+微积分,rutgers-msmf,accepted,26Fall,chasedream
8,M,双非一本,中国大陆,3.8,4,326,102,应用数学,1段量化实习,否,否,概率论+线代+微积分,baruch-mfe,rejected,26Fall,chasedream
9,M,985,中国大陆,3.9,4,333,118,计算机,3段量化实习+kaggle金牌,是,是,ML+深度学习+C++,baruch-mfe,accepted,26Fall,quantnet
9,M,985,中国大陆,3.9,4,333,118,计算机,3段量化实习+kaggle金牌,是,是,ML+深度学习+C++,cmu-mscf,accepted,26Fall,quantnet
9,M,985,中国大陆,3.9,4,333,118,计算机,3段量化实习+kaggle金牌,是,是,ML+深度学习+C++,princeton-mfin,waitlisted,26Fall,quantnet
10,unknown,,美籍,4.0,4,,,,,不明,不明,,columbia-msfe,accepted,26Fall,gradcafe
11,unknown,,美籍,3.37,4,,,,,不明,不明,,nyu-tandon-mfe,rejected,26Fall,gradcafe
12,unknown,,其他国际,3.78,4,,,,,不明,不明,,uiuc-msfe,rejected,25Fall,gradcafe
13,unknown,,其他国际,3.78,4,,,,,不明,不明,,nyu-tandon-mfe,rejected,25Fall,gradcafe
14,unknown,,其他国际,,4,336,,,,不明,不明,,nyu-tandon-mfe,accepted,25Fall,gradcafe
15,unknown,,其他国际,3.82,4,,,,,不明,不明,,nyu-tandon-mfe,accepted,25Fall,gradcafe
16,unknown,,其他国际,3.7,4,,,,,不明,不明,,gatech-qcf,accepted,,gradcafe
17,unknown,,,,4,,,,,不明,不明,,columbia-msfe,waitlisted,23Fall,gradcafe
18,unknown,,其他国际,3.67,4,169,,,,不明,不明,,nyu-tandon-mfe,waitlisted,23Fall,gradcafe
19,unknown,,其他国际,,4,,,,,不明,不明,,uchicago-msfm,waitlisted,22Fall,gradcafe
20,unknown,,其他国际,3.93,4,167,,,,不明,不明,,columbia-msfe,accepted,22Fall,gradcafe
21,unknown,,其他国际,3.9,4,169,,,,不明,不明,,columbia-msfe,accepted,22Fall,gradcafe
22,unknown,,其他国际,,4,,,,,不明,不明,,columbia-msfe,accepted,22Fall,gradcafe
23,unknown,,其他国际,,4,168,,,,不明,不明,,stevens-mfe,accepted,22Fall,gradcafe
24,unknown,,其他国际,,4,,,,,不明,不明,,gatech-qcf,accepted,22Fall,gradcafe
25,unknown,,其他国际,3.2,4,161,,,,不明,不明,,uwash-cfrm,rejected,14Fall,gradcafe
26,unknown,,其他国际,3.89,4,170,,,,不明,不明,,uwash-cfrm,accepted,14Fall,gradcafe
27,unknown,,其他国际,,4,,,,,不明,不明,,uwash-cfrm,accepted,14Fall,gradcafe
28,unknown,,其他国际,,4,,,,,不明,不明,,uwash-cfrm,rejected,13Fall,gradcafe
29,unknown,,其他国际,3.7,4,800,,,,不明,不明,,cmu-mscf,waitlisted,11Fall,gradcafe
30,unknown,,美籍,3.89,4,,,,,不明,不明,,columbia-mafn,accepted,26Fall,gradcafe
31,unknown,,美籍,3.37,4,,,,,不明,不明,,bu-msmf,accepted,26Fall,gradcafe
32,unknown,,其他国际,3.91,4,,,,,不明,不明,,columbia-mafn,accepted,24Fall,gradcafe
33,unknown,,其他国际,,4,,,,,不明,不明,,bu-msmf,waitlisted,20Fall,gradcafe
34,unknown,,其他国际,,4,,,,,不明,不明,,utoronto-mmf,interview,20Fall,gradcafe
35,unknown,,其他国际,3.0,4,164,,,,不明,不明,,bu-msmf,accepted,14Fall,gradcafe
36,unknown,,美籍,3.95,4,,,,,不明,不明,,nyu-tandon-mfe,accepted,26Fall,gradcafe
37,unknown,,其他国际,3.48,4,167,,,,不明,不明,,rutgers-mqf,accepted,21Fall,gradcafe
38,unknown,,美籍,3.71,4,,,,,不明,不明,,rutgers-mqf,accepted,21Fall,gradcafe
39,unknown,,其他国际,,4,,,,,不明,不明,,fordham-msqf,accepted,13Fall,gradcafe
40,unknown,,其他国际,,4,,,,,不明,不明,,rutgers-mqf,accepted,12Fall,gradcafe
41,unknown,,其他国际,2.93,4,,,,,不明,不明,,baruch-mfe,rejected,12Fall,gradcafe
42,unknown,,美籍,,4,,,,,不明,不明,,baruch-mfe,rejected,,gradcafe
43,unknown,,美籍,4.0,4,,,,,不明,不明,,baruch-mfe,rejected,26Fall,gradcafe
44,unknown,,美籍,3.3,4,,,,,不明,不明,,baruch-mfe,rejected,26Fall,gradcafe
45,unknown,,美籍,3.93,4,,,,,不明,不明,,baruch-mfe,accepted,26Fall,gradcafe
46,unknown,,美籍,3.51,4,302,,,,不明,不明,,baruch-mfe,interview,26Fall,gradcafe
47,unknown,,美籍,4.0,4,,,,,不明,不明,,baruch-mfe,interview,26Fall,gradcafe
48,unknown,,美籍,3.2,4,,,,,不明,不明,,baruch-mfe,rejected,26Fall,gradcafe
49,unknown,,美籍,3.0,4,,,,,不明,不明,,baruch-mfe,accepted,25Fall,gradcafe
50,unknown,,美籍,3.5,4,,,,,不明,不明,,baruch-mfe,accepted,25Fall,gradcafe
51,unknown,,美籍,3.7,4,,,,,不明,不明,,baruch-mfe,rejected,25Fall,gradcafe
52,unknown,,美籍,,4,,,,,不明,不明,,baruch-mfe,accepted,25Fall,gradcafe
53,unknown,,其他国际,3.94,4,165,,,,不明,不明,,baruch-mfe,interview,24Fall,gradcafe
54,unknown,,,,4,,,,,不明,不明,,baruch-mfe,waitlisted,23Fall,gradcafe
55,unknown,,其他国际,3.4,4,170,,,,不明,不明,,cmu-mscf,accepted,18Fall,gradcafe
56,unknown,,其他国际,,4,,,,,不明,不明,,cmu-mscf,rejected,18Fall,gradcafe
57,unknown,,其他国际,4.0,4,,,,,不明,不明,,cmu-mscf,rejected,26Fall,gradcafe
58,unknown,,其他国际,3.95,4,,,,,不明,不明,,cmu-mscf,rejected,26Fall,gradcafe
59,unknown,,其他国际,3.92,4,,,,,不明,不明,,cmu-mscf,rejected,26Fall,gradcafe
60,unknown,,其他国际,,4,,,,,不明,不明,,cmu-mscf,accepted,26Fall,gradcafe
61,unknown,,美籍,,4,,,,,不明,不明,,cmu-mscf,waitlisted,26Fall,gradcafe
62,unknown,,美籍,3.72,4,,,,,不明,不明,,cmu-mscf,rejected,26Fall,gradcafe
63,unknown,,其他国际,4.19,4,330,,,,不明,不明,,cmu-mscf,accepted,26Fall,gradcafe
64,unknown,,美籍,4.1,4,,,,,不明,不明,,cmu-mscf,accepted,26Fall,gradcafe
65,unknown,,其他国际,3.74,4,167,,,,不明,不明,,cmu-mscf,accepted,26Fall,gradcafe
66,unknown,,美籍,4.0,4,170,,,,不明,不明,,cmu-mscf,accepted,26Fall,gradcafe
67,unknown,,其他国际,3.89,4,167,,,,不明,不明,,cmu-mscf,rejected,26Fall,gradcafe
68,unknown,,其他国际,3.8,4,170,,,,不明,不明,,cmu-mscf,accepted,26Fall,gradcafe
69,unknown,,美籍,3.6,4,,,,,不明,不明,,cmu-mscf,interview,26Fall,gradcafe
70,unknown,,其他国际,3.62,4,,,,,不明,不明,,cmu-mscf,accepted,26Fall,gradcafe
71,unknown,,其他国际,4.0,4,,,,,不明,不明,,princeton-mfin,waitlisted,26Fall,gradcafe
72,unknown,,其他国际,3.75,4,,,,,不明,不明,,princeton-mfin,rejected,26Fall,gradcafe
73,unknown,,其他国际,3.85,4,,,,,不明,不明,,princeton-mfin,rejected,26Fall,gradcafe
74,unknown,,其他国际,3.92,4,,,,,不明,不明,,princeton-mfin,rejected,26Fall,gradcafe
75,unknown,,其他国际,3.95,4,,,,,不明,不明,,princeton-mfin,accepted,26Fall,gradcafe
76,unknown,,其他国际,3.9,4,,,,,不明,不明,,princeton-mfin,rejected,26Fall,gradcafe
77,unknown,,其他国际,,4,,,,,不明,不明,,princeton-mfin,rejected,26Fall,gradcafe
78,unknown,,美籍,3.99,4,,,,,不明,不明,,princeton-mfin,accepted,26Fall,gradcafe
79,unknown,,其他国际,4.0,4,,,,,不明,不明,,princeton-mfin,rejected,26Fall,gradcafe
80,unknown,,美籍,3.97,4,,,,,不明,不明,,princeton-mfin,accepted,26Fall,gradcafe
81,unknown,,其他国际,4.0,4,332,,,,不明,不明,,princeton-mfin,accepted,26Fall,gradcafe
82,unknown,,其他国际,3.95,4,,,,,不明,不明,,princeton-mfin,rejected,24Fall,gradcafe
83,unknown,,美籍,3.74,4,,,,,不明,不明,,princeton-mfin,accepted,24Fall,gradcafe
84,unknown,,美籍,,4,,,,,不明,不明,,princeton-mfin,interview,23Fall,gradcafe
85,unknown,,其他国际,3.99,4,170,,,,不明,不明,,princeton-mfin,waitlisted,22Fall,gradcafe
86,unknown,,其他国际,3.9,4,,,,,不明,不明,,princeton-mfin,interview,25Fall,gradcafe
87,unknown,,其他国际,,4,167,,,,不明,不明,,princeton-mfin,rejected,21Fall,gradcafe
88,unknown,,其他国际,3.92,4,170,,,,不明,不明,,princeton-mfin,rejected,20Fall,gradcafe
89,unknown,,其他国际,,4,,,,,不明,不明,,princeton-mfin,accepted,13Fall,gradcafe
90,unknown,,其他国际,3.85,4,150,,,,不明,不明,,princeton-mfin,rejected,12Fall,gradcafe
91,unknown,,其他国际,3.83,4,700,,,,不明,不明,,princeton-mfin,rejected,12Fall,gradcafe
92,unknown,,其他国际,3.3,4,167,,,,不明,不明,,princeton-mfin,rejected,12Fall,gradcafe
93,unknown,,其他国际,,4,,,,,不明,不明,,berkeley-mfe,accepted,,gradcafe
94,unknown,,美籍,4.0,4,,,,,不明,不明,,berkeley-mfe,rejected,26Fall,gradcafe
95,unknown,,美籍,3.86,4,,,,,不明,不明,,berkeley-mfe,waitlisted,26Fall,gradcafe
96,unknown,,其他国际,3.8,4,,,,,不明,不明,,berkeley-mfe,accepted,26Fall,gradcafe
97,unknown,,美籍,3.6,4,326,,,,不明,不明,,berkeley-mfe,rejected,26Fall,gradcafe
98,unknown,,其他国际,,4,,,,,不明,不明,,berkeley-mfe,rejected,26Fall,gradcafe
99,unknown,,美籍,3.95,4,,,,,不明,不明,,berkeley-mfe,rejected,26Fall,gradcafe
100,unknown,,美籍,3.81,4,,,,,不明,不明,,berkeley-mfe,accepted,26Fall,gradcafe
101,unknown,,其他国际,3.97,4,,,,,不明,不明,,berkeley-mfe,accepted,26Fall,gradcafe
102,unknown,,其他国际,3.1,4,,,,,不明,不明,,berkeley-mfe,rejected,26Fall,gradcafe
