program_id,result_binary,gpa_normalized,gre_quant,gre_verbal,toefl,undergrad_tier_encoded,intern_score,intern_count,research_score,is_international,is_female,major_relevance_score,has_paper,has_research
-1,1,3.6,170.0,158.0,108.0,3.0,4.0,1.0,1,1.0,1.0,1.0,,0.0
0,1,3.8,170.0,162.0,112.0,2.0,6.0,2.0,3,1.0,0.0,1.0,0.0,0.0
25,0,3.8,170.0,162.0,112.0,2.0,6.0,2.0,3,1.0,0.0,1.0,0.0,0.0
4,1,3.8,170.0,162.0,112.0,2.0,6.0,2.0,3,1.0,0.0,1.0,0.0,0.0
4,1,3.9,170.0,163.0,118.0,2.0,6.0,2.0,3,1.0,0.0,1.0,0.0,0.0
0,1,3.9,170.0,163.0,118.0,2.0,6.0,2.0,3,1.0,0.0,1.0,0.0,0.0
9,1,3.6,170.0,158.0,108.0,3.0,4.0,1.0,1,1.0,1.0,1.0,,0.0
21,0,3.6,170.0,158.0,108.0,3.0,4.0,1.0,1,1.0,1.0,1.0,,0.0
-1,0,3.5,170.0,155.0,105.0,2.0,4.0,1.0,0,1.0,0.0,0.4,,
10,1,3.5,170.0,155.0,105.0,2.0,4.0,1.0,0,1.0,0.0,0.4,,
0,0,3.8,170.0,156.0,102.0,,6.0,2.0,0,1.0,0.0,1.0,,
-1,1,3.8,170.0,156.0,102.0,,6.0,2.0,0,1.0,0.0,1.0,,
25,1,3.92,170.0,165.0,,3.0,10.0,1.0,3,,1.0,,0.0,
18,0,3.7,170.0,159.0,,4.0,6.0,2.0,0,,0.0,,,
-1,1,3.7,170.0,159.0,,4.0,6.0,2.0,0,,0.0,,,
27,1,3.98,165.0,163.0,,,,,0,1.0,,,,
32,1,4.0,163.0,164.0,,,,,0,0.0,,,,
21,0,3.69,165.0,164.0,,,,,0,0.0,,,,
25,0,3.7,163.0,159.0,,,,,0,0.0,,,,
4,0,3.89,167.0,155.0,,,,,0,1.0,,,,
4,1,4.0,170.0,165.0,,,,,0,0.0,,,,
4,1,3.74,167.0,165.0,,,,,0,1.0,,,,
18,1,3.92,170.0,159.0,,,,,0,1.0,,,,
25,0,3.92,170.0,159.0,,,,,0,1.0,,,,
4,1,3.94,165.0,159.0,,,,,0,1.0,,,,
4,1,3.7,164.0,165.0,,,,,0,0.0,,,,
4,0,3.37,168.0,162.0,,,,,0,1.0,,,,
4,1,3.97,170.0,167.0,,,,,0,0.0,,,,
4,0,3.96,165.0,155.0,,,,,0,0.0,,,,
4,0,3.7,167.0,160.0,,,,,0,0.0,,,,
6,1,3.36,166.0,162.0,,,,,0,0.0,,,,
